TITLE,ARTIST,TIMES AIRED
"Oxygen","Lincoln Brewster                                            ",2
"Something Beautiful","NEEDTOBREATHE                                               ",1
"Committed","Newsboys                                                    ",1
"That Was Then, This Is Now",1
"No Longer Slaves","Newsboys                                                    ",2
"My Heart Is Yours (Radio Version)","PASSION FEAT. KRISTIAN STANFILL                             ",1
"He Is With Us (feat. Chris Rademaker)","Love & The Outcome                                          ",2
"Good Morning [Capital Kings Remix]","Mandisa                                                     ",1
"Learning to Be the Light","NEWWORLDSON                                                 ",1
"The Secret Place (feat. Madison Cunningham)","Phil Wickham                                                ",1
"First","Lauren Daigle                                               ",1
"Waiting for Tomorrow","Mandisa                                                     ",1
"To Bring You Back","PAUL ALAN                                                   ",1
"Guilty","NEWSBOYS                                                    ",1
"Only Got Eyes","Martin Smith                                                ",1
"Reach","PETER FURLER                                                ",1
"My Redeemer Lives","PHILLIPS,1
"There is Power","Lincoln Brewster                                            ",1
"Christ Is Risen","MATT MAHER                                                  ",1
"Lord I'm Ready Now","PLUMB                                                       ",2
"All Along","REMEDY DRIVE                                                ",1
"Forever (Radio Version)","KARI JOBE                                                   ",1
"Because He Lives (Amen)","Matt Maher                                                  ",1
"When Mercy Found Me","RHETT WALKER BAND                                           ",1
"I Wish","POINT OF GRACE                                              ",1
"Matt Maher - Lord, I Need You",1
"Day One","Matthew West                                                ",1
"Heartache","Relient K                                                   ",1
"Hold Me Together","ROYAL TAILOR                                                ",1
"Grace Wins","MATTHEW WEST                                                ",1
"Open the Eyes of My Heart","PAUL BALOCHE                                                ",1
"Lead Me","Sanctus Real                                                ",1
"Jo Yra Jura","Gabriele Gvazdikaite                                        ",2
"Unitytm - Kur Tu Esi","Unitytm                                                     ",2
"Whatever You're Doing (Something Heavenly)","Sanctus Real                                                ",1
"What I Want Them To Say","Newsboys                                                    ",1
"You Are With Us","Samuel Lane                                                 ",2
"Saved by Grace","SHANE & SHANE                                               ",2
"Clarity","SHAWN MCDONALD                                              ",1
"Save My Life","SIDEWALK PROPHETS                                           ",1
"All for You","Mikeschair                                                  ",2
"Let It Be Love","SEVENGLORY                                                  ",1
"You Love Me Anyway","SIDEWALK PROPHETS                                           ",1
"Relentless (Acoustic Version) [Live]","",1
"Live Like That","SIDEWALK PROPHETS                                           ",1
"I Want to Know You (In the Secret)","SONICFLOOD                                                  ",1
"09-20","                                                            ",2
"You Are My King","",1
"Acid_vid_tempas_nuotaika","                                                            ",2
"Pavakario eteris moteris 2","                                                            ",8
"linija","                                                            ",1
"Never Miss a Beat","Natalie Grant                                               ",1
"King of My Heart","Love & The Outcome                                          ",1
"Closer to Love (Radio Mix)","MAT KEARNEY                                                 ",1
"My Lighthouse","Rend Collective                                             ",1
"I'll Love You So","ABOVE THE GOLDEN STATE                                      ",1
"Raimis Kukuruzu Labirintas","                                                            ",1
"Izraelis2","                                                            ",2
"You Never Let Go","",1
"Pastoge","                                                            ",1
"SIELOS","",1
"Move (Keep Walkin')","TobyMac                                                     ",1
"Jesus Loves Me","Chris Tomlin                                                ",1
"Laukiu Tavęs","ARNOLDAS JALIANIAUSKAS                                      ",1
"Remind Me Who I Am","JASON GRAY                                                  ",1
"Something Beautiful","STEVEN CURTIS CHAPMAN                                       ",1
"Glorious Day (Living He Loved Me)","CASTING CROWNS                                              ",1
